SqFt,Bedrooms,Bathrooms,Dist_Center,House_Age,Floors,Lot_Size,Walk_Score,HOA_Fee,Crime_Rate,Dist_School,Grocery_Stores,Prop_Tax,Maint_Cost,Median_Income,Region,House_Cond,Urban_Rural,House_Price
1460,3,4,3,45,3,18675,44,59.95,106,5.4,16,1.87,9503.13,74679,D,Low,Rural,495656.84
5990,6,2,3.1,67,1,9720,77,455.76,54,5.2,17,0.93,6996.62,180344,D,Low,Rural,1402403.89
5826,6,4,34.8,24,2,11172,80,498.98,13,2.7,10,1.61,9591.79,127654,A,Low,Urban,1259101.4
5791,2,4,23.2,50,2,15457,11,90.3,12,9.4,18,1.73,8706.57,134169,D,High,Urban,1176431.38
4372,2,3,11.7,12,3,3939,92,19.22,83,4.6,12,4.9,3734.43,55109,E,Low,Rural,815844.37
3692,6,2,30.9,102,1,15345,31,137.53,89,1.4,8,3.53,1570.49,70670,D,High,Urban,759583.88
1066,1,1,13,43,2,17158,55,417.43,26,4.4,27,4.69,5241.04,70022,A,Medium,Rural,307054.08
5934,3,3,29.1,34,2,6435,23,146.95,88,1.4,26,4.26,754.73,156610,C,Low,Rural,1247970.44
5026,5,3,18.3,54,2,6392,12,28.45,136,5.1,3,3.1,1924.21,64237,D,High,Rural,888133.76
4044,2,1,41.3,86,2,8972,19,26.25,40,5.7,27,3.54,2717.61,160605,E,High,Urban,929136.68
3771,2,3,41.1,8,1,18617,78,213.71,47,3.4,20,3.31,6823.64,29363,D,High,Urban,763955.22
3519,6,4,24.1,1,1,15799,55,465.91,11,0.8,24,3.5,5343.84,66304,B,High,Urban,797008.7
730,4,4,17.9,60,1,16052,52,142.96,137,9.4,3,1.69,3372.99,31819,A,Medium,Urban,283264.11
2285,5,2,18.4,117,1,7044,67,213.58,5,7.8,6,2.34,5865.3,32191,C,Low,Rural,481613.19
1369,5,2,40.4,40,2,15415,53,50.97,40,8.4,2,3.17,1689.43,26499,B,Low,Urban,294742.31
2991,2,1,16.7,43,3,18274,33,246.79,5,3.7,3,0.66,7679.23,83001,E,Low,Urban,686439.85
3033,1,2,10.8,63,3,14858,27,348.27,129,7.6,17,2.67,7264.33,130383,D,Low,Urban,789114.31
5911,4,4,4.7,30,2,18572,49,135.58,14,4.9,9,4.37,2556.78,37668,A,Low,Rural,1177043.48
5651,5,1,23.6,107,2,6644,1,148.36,144,2.1,4,2.72,6260.72,159834,D,Low,Urban,1132435.37
1784,2,1,24.4,46,3,18124,93,420.99,15,1.3,22,2.99,5281.37,116828,D,High,Rural,483874.1
5155,5,2,42.1,1,3,18753,25,5.18,84,3.5,23,1.41,1077.75,170320,D,Low,Urban,1219930.71
3985,4,4,11.5,95,2,19384,50,318.24,9,1.5,2,4.07,3142.46,124349,D,High,Urban,955241.25
4717,4,1,19.4,81,2,18855,46,196.94,137,10,24,2.11,9995.09,196016,A,Medium,Urban,1125364.38
